rank_test_rmse,run_dir,test_rmse,valid_rmse,delta_test_rmse_vs_best,delta_valid_rmse_vs_best_valid,batch_size,n_mc_samples,use_sigmoid_output,hidden_sizes,n_iters,step_size,prior_stddev,likelihood_stddev,init_q_stddev,seed,results_json
23,arch_100_iters_2000_bs_16_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.14941081404685974,0.25855883955955505,0.014635995030403137,0.05221708118915558,16,20,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
24,arch_100_iters_2000_bs_32_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.1499418020248413,0.2598698139190674,0.015166983008384705,0.05352805554866791,32,5,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
25,arch_100_iters_2000_bs_16_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101,0.15070030093193054,0.2829033136367798,0.015925481915473938,0.07656155526638031,16,5,False,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_linearout_seed_101/results.json
26,arch_100_iters_2000_bs_32_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.15625610947608948,0.274204820394516,0.021481290459632874,0.06786306202411652,32,20,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
27,arch_100_iters_2000_bs_16_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.16021503508090973,0.2796899974346161,0.025440216064453125,0.07334823906421661,16,5,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_5_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
28,arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.16252486407756805,0.2911472022533417,0.02775004506111145,0.0848054438829422,32,50,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
29,arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.16475950181484222,0.2973327338695526,0.02998468279838562,0.09099097549915314,32,100,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_32_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
30,arch_100_iters_2000_bs_16_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.17109881341457367,0.2968241572380066,0.036323994398117065,0.09048239886760712,16,20,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_20_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
31,arch_100_iters_2000_bs_16_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.1733778864145279,0.3026401698589325,0.03860306739807129,0.09629841148853302,16,50,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_50_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
32,arch_100_iters_2000_bs_16_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101,0.17711657285690308,0.30466312170028687,0.04234175384044647,0.09832136332988739,16,100,True,100,2000,0.001,3.0,0.1,0.05,101,hvm/hparam_results/arch_100_iters_2000_bs_16_mc_100_lr_0p001_prior_3p0_lik_0p1_qstd_0p05_sigmoid_seed_101/results.json
